name;lat;long;country;population
Comodoro Rivadavia;-45.8667;-67.5000;Argentina;730266
Concepcion del Uruguay;-32.4833;-58.2333;Argentina;72528
Concordia;-31.3922;-58.0169;Argentina;149450
Cordoba;-31.4167;-64.1833;Argentina;1329604
Coronda;-31.9667;-60.9167;Argentina;18115
Coronel Dorrego;-38.7000;-61.2667;Argentina;11510
Coronel Suarez;-37.4667;-61.9333;Argentina;23621
Corral de Bustos;-33.2833;-62.2000;Argentina;10407
Corrientes;-27.4833;-58.8167;Argentina;352646
Cruz del Eje;-30.7333;-64.8000;Argentina;52172
Cutral-Co;-38.9333;-69.2333;Argentina;35465
Darregueira;-37.6996;-63.1666;Argentina;3412
Dean Funes;-30.4333;-64.3500;Argentina;21518
Dock Sur;-34.6417;-58.3478;Argentina;35897
Dolores;-36.3132;-57.6792;Argentina;25940
Don Bosco;-34.7000;-58.2833;Argentina;20876
El Calafate;-50.3395;-72.2649;Argentina;21132
El Maiten;-42.0500;-71.1667;Argentina;4011
El Talar de Pacheco;-34.4719;-58.6550;Argentina;50426
Eldorado;-26.4000;-54.6333;Argentina;17365
Embalse;-32.1833;-64.4167;Argentina;9107
Esperanza;-31.4489;-60.9317;Argentina;43300
Esquel;-42.9000;-71.3167;Argentina;36687
Esteban Echeverria;-34.8167;-58.4667;Argentina;109644
Ezpeleta;-34.7517;-58.2344;Argentina;79557
Federacion;-30.9833;-57.9167;Argentina;16658
Firmat;-33.4500;-61.4833;Argentina;25757
Florencio Varela;-34.8167;-58.2833;Argentina;426005
Florencio Varela;-34.8167;-58.3833;Argentina;146704
Formosa;-26.1847;-58.1758;Argentina;222226
Fray Luis A. Beltran;-32.7833;-60.7333;Argentina;15176
Frias;-28.6496;-65.1500;Argentina;13594
Frontera;-31.4278;-62.0619;Argentina;10520
Gastre;-42.2667;-69.2167;Argentina;602
General Conesa;-40.1000;-64.4333;Argentina;5484
General Deheza;-32.7564;-63.7889;Argentina;18000
General Fernandez Oro;-38.9500;-67.9167;Argentina;6772
General Juan Madariaga;-37.0167;-57.1333;Argentina;18089
General Levalle;-34.0167;-63.9167;Argentina;5697
General Martin Miguel de Guemes;-24.6667;-65.0500;Argentina;19828
General Pico;-35.6587;-63.7577;Argentina;57029
General Roca;-39.0333;-67.5833;Argentina;81534
Gobernador Galvez;-33.0251;-60.6337;Argentina;80769
Gobernador Gregores;-48.7509;-70.2485;Argentina;4497
Godoy Cruz;-32.9167;-68.8333;Argentina;191299
Gonzalez Catan;-34.7708;-58.6464;Argentina;238067
Goya;-29.1333;-59.2500;Argentina;72304
Granadero Baigorria;-32.8500;-60.7000;Argentina;36994
Gualeguay;-33.1500;-59.3167;Argentina;43009
Gualeguaychu;-33.0078;-58.5111;Argentina;109461
Haedo;-34.6500;-58.6000;Argentina;37745
Helvecia;-31.1000;-60.0833;Argentina;7994
Humahuaca;-23.2054;-65.3505;Argentina;11369
Ingeniero Guillermo N. Juarez;-23.9000;-61.8500;Argentina;6453
Ingeniero Jacobacci;-41.3000;-69.5833;Argentina;6261
